tag,model,calibrated,windows,n_test,roc_auc,pr_auc,brier,ece
logreg_raw_w7-30-180,logreg,False,"7,30,180",80,0.6206896551724138,0.35853609651874363,0.20241811713296123,0.11165381800166739
logreg_raw_w180,logreg,False,180,80,0.6504702194357366,0.3783096469916466,0.1928862421969145,0.08180211634786282
logreg_cal_w7-30-180,logreg,True,"7,30,180",80,0.6379310344827586,0.37819908556761184,0.20298694746066964,0.07148145197863842
logreg_cal_w180,logreg,True,180,80,0.6731974921630094,0.4437685550464603,0.19693149347563024,0.14564341445692944
random_forest_raw_w7-30-180,random_forest,False,"7,30,180",80,0.6763322884012539,0.4438857839316238,0.18912217256497327,0.05902627360177762
random_forest_raw_w180,random_forest,False,180,80,0.6669278996865204,0.42655574720034384,0.19349306013154252,0.08639707439929435
random_forest_cal_w7-30-180,random_forest,True,"7,30,180",80,0.668103448275862,0.43164700341162004,0.19150282148972675,0.09978874457140202
random_forest_cal_w180,random_forest,True,180,80,0.6579153605015674,0.4379163902967517,0.18743875690345418,0.10873623280975478
xgboost_raw_w7-30-180,xgboost,False,"7,30,180",80,0.6974921630094044,0.48331939796746987,0.1914939433336258,0.15919321625260638
xgboost_raw_w180,xgboost,False,180,80,0.60423197492163,0.4301471416054442,0.2137742042541504,0.19153033569455144
xgboost_cal_w7-30-180,xgboost,True,"7,30,180",80,0.7045454545454546,0.48291440337302477,0.1797360029992796,0.08280961743245523
xgboost_cal_w180,xgboost,True,180,80,0.5924764890282131,0.37757881344931654,0.19899355486905995,0.10531910841042799
